"Country.Code","C02_emitions","Year","Electricity.from.coal..TWh.","Electricity.from.gas..TWh.","Electricity.from.hydro..TWh.","Electricity.from.other.renewables..TWh.","Electricity.from.solar..TWh.","Electricity.from.oil..TWh.","Electricity.from.wind..TWh.","Electricity.from.nuclear..TWh.","Population","Forest","Annual_Net_Saving","AQI.Value","CO.AQI.Value","Ozone.AQI.Value","NO2.AQI.Value","PM2.5.AQI.Value"
"ARG",3.4056175404138,2020,1.44571888554502,86.6896597556761,20.853642183,1.89349616,1.344266595,3.49202163193959,9.41975770799999,10.010407849,45376763,10.4407148781923,7.79059616219267,29.4444444444444,0.597222222222222,14.5138888888889,2.02777777777778,26.3194444444444
"AUS",14.7761369066259,2020,135.09932982755,48.1325189180556,16.11289,3.44316,18.63882,5.61254125439391,24.308719,0,25649248,17.4213145571644,7.1579707777786,34,0.170454545454545,21.9659090909091,3.13636363636364,27.5340909090909
"AUT",6.63264573733546,2020,0.716660303999999,10.440827021,42.88311892,4.068629143,1.264995729,3.249908,6.86816965899999,0,8916864,47.2509694619486,12.9896215048242,52.7083333333333,0.9375,35.0416666666667,1.25,51.1875
"AZE",3.39884957289227,2020,0,12.5144319832985,1.54935,0.155333333333333,0.044,11.3798480167014,0.135,0,10093121,13.6941896764514,7.99326933010466,61.304347826087,1,38.6086956521739,0,59.9565217391304
"BEL",7.39813065774681,2020,0.0912999999999999,26.052379991,0.273023303,5.171873998,4.60973408,3.54561887199999,12.387557274,33.79081008,11538604,22.7642007926024,10.4311369854454,44.0472440944882,0.921259842519685,30.1102362204724,3.22047244094488,43.9645669291339
"BGD",0.510647559277094,2020,4.42359084401592,56.5521080965505,0.697582044,0.002942,0.417096393,18.3088033980668,0.006,0,167420951,14.4687716063609,33.856065757834,98.9090909090909,2.09090909090909,45.5454545454545,2.27272727272727,97
"BGR",4.92328037940501,2020,13.5087832709999,2.241946714,2.96506509,1.48988349099999,1.567284845,0.442797451,1.47496189599999,16.636114925,6934015,35.8603537214444,7.6282737158078,52.5681818181818,1.02272727272727,40.3181818181818,0.75,48.6590909090909
"BIH",6.31230587447531,2020,10.7554635988907,0,4.85273183021384,0.0106666666666666,0.03,0,0.235767703632036,0,3318407,42.7326171875,NA,61.25,1,36.0625,0.1875,60.625
"BLR",5.84240729590088,2020,0,34.89598,0.34452,0.336,0.181,0,0.178,0,9379952,43.1944033894965,12.0051851558509,35.4444444444444,0.888888888888889,32.9444444444444,0.333333333333333,25.3333333333333
"BOL",1.53946469560316,2020,0,5.92096563513927,2.91500813925,0.269,0.251824170648,0,0.063989639,0,11936162,46.9249146127573,2.43036278299196,25.4857142857143,0.342857142857143,8.71428571428571,0.171428571428571,25.2
"BRA",1.94252335631484,2020,21.7940999780834,52.2398548868275,391.1986524,54.7415685907,7.5933075128,8.33166254128893,56.677753077,13.1497642023,213196304,59.4174780513368,-1.48531985079293,43.1662921348315,0.942696629213483,12.5629213483146,2.01797752808989,42.676404494382
"CAN",13.5993749178773,2020,44.5685777369878,56.2158615779702,382.35348,10.1764481358619,4.38661,3.77410554918005,33.60374,93.237202,38007166,38.6955125094946,3.82743705649688,44.6301369863014,1.08904109589041,26.527397260274,2.92465753424658,40.4178082191781
"CHE",4.04207281475341,2020,0,0,37.2866643303614,3.301,3.97354285143581,0.66148,0.166510885117837,23.2833958843107,8638167,32.1215359394659,11.8492434229743,57.6702127659574,1.01063829787234,30.8085106382979,1.68085106382979,57.4468085106383
"CHL",4.39515106359663,2020,17.506799962188,11.2603645243072,20.4842108000999,4.5982342883,7.4660379658,11.7096786176817,5.80326572739999,0,19300315,24.4921536665537,4.61735069965192,104.815789473684,5.60526315789474,8.85526315789474,10.5657894736842,104.013157894737
"CHN",7.75613790659769,2020,4631.21459999999,253.425,1355.2,129.739743999999,261.1,160.316928,466.5,366.2,1411100000,23.4313229039402,15.2973701078229,124.169373549884,3.35962877030162,84.3573085846868,6.75406032482599,109.99535962877
"COL",1.55225942282078,2020,7.89883933037145,14.6158287294451,49.387036558,1.34103743926,0.19073473716,0.817211711803362,0.00679254514,0,50930662,53.3050112663362,4.82723447420149,68.3684210526316,1.73684210526316,10.0789473684211,3.58333333333333,68.3377192982456
"CRI",1.35999554957394,2020,0,0,8.201894800254,1.794885978875,0.075867603203,0.0183304732379999,1.46911769149399,0,5123105,59.4373286329808,15.3086884431399,57.1098901098901,1.40659340659341,14.5274725274725,6.27472527472527,57.1098901098901
"CYP",5.47199800894842,2020,0,0,0,0.056896,0.199493,4.079632764,0.257460009999999,0,1237537,18.6720779220779,1.13477611194028,50,1,50,0,37
"CZE",8.30401749583889,2020,32.067170073,5.823603145,1.974344271,4.903777207,2.18728677,3.001016929,0.689256132,30.036721227,10697858,34.6779919254939,8.58188031662089,60.7674418604651,0.906976744186046,36.3255813953488,1.62790697674419,60.1627906976744
"DEU",7.2552210281684,2020,134.2,91.6,18.7,50.5,51,22.5,134.5,64.3,83160871,32.6826755201923,13.1828972942106,47.5625,0.796641791044776,35.4962686567164,1.94402985074627,45.3591417910448
"DNK",4.69123730751634,2020,4.243723057,1.054749828,0.014862,5.100977661,1.237299481,1.031539097,16.365435465,0,5831404,15.711,18.5528904768575,38.1621621621622,0.486486486486487,36.1351351351351,0.486486486486487,28.4594594594595
"ESP",4.2795945712141,2020,6.295943508,68.6032798799999,31.9047204099999,6.81863684699999,20.755279456,15.9030612469999,55.146860553,58.306917109,47365655,37.1773054885498,6.83101667664745,38.6006825938567,0.815699658703072,31.5324232081911,1.66894197952218,30.7713310580205
